date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2015-05-13,126.15,127.19,125.87,126.01,34694235,0.135,0.12%,117.5177,4388277658.64,165882
2015-05-12,125.60,126.88,124.82,125.865,48160032,-0.424,-0.36%,117.3825,6062475128.22,221671
2015-05-11,127.39,127.56,125.625,126.32,42035757,-1.212,-1.02%,117.8068,5313669632.48,194451
2015-05-08,126.68,127.62,126.11,127.62,55550382,2.201,1.88%,119.0192,7062819720.72,222360
2015-05-07,124.77,126.08,124.02,125.26,43940895,0.718,0.62%,116.8183,5505671328.70,215150
2015-05-06,126.56,126.75,123.36,125.01,72141010,-0.734,-0.63%,116.1001,8984959213.57,385445
2015-05-05,128.15,128.4498,125.78,125.80,49271416,-2.693,-2.25%,116.8338,6237024066.67,248950
2015-05-04,129.50,130.57,128.26,128.70,50988278,-0.232,-0.19%,119.5271,6597100707.09,246132
2015-05-01,126.10,130.13,125.30,128.95,58512638,3.529,3.04%,119.7593,7437761716.26,285566
2015-04-30,127.50,127.88,124.58,125.15,83195423,-3.241,-2.71%,116.2301,10474158413.30,420676
2015-04-29,130.16,131.59,128.30,128.64,63386083,-1.783,-1.47%,119.4714,8207451054.11,307223
2015-04-28,134.455,134.54,129.57,130.56,118923970,-1.941,-1.58%,121.2545,15652421511.07,627791
2015-04-27,132.31,133.13,131.15,132.65,96954207,2.201,1.82%,123.1956,12832544609.94,451271
2015-04-24,130.49,130.63,129.23,130.28,44525905,0.567,0.47%,120.9945,5787148308.09,219744
2015-04-23,128.30,130.42,128.14,129.67,45770902,0.975,0.82%,120.428,5929194181.23,226655
2015-04-22,126.99,128.87,126.32,128.62,37654505,1.588,1.35%,119.4528,4807524127.65,184088
2015-04-21,128.10,128.20,126.67,126.91,32435057,-0.641,-0.54%,117.8647,4124217592.14,169222
2015-04-20,125.57,128.12,125.17,127.60,47054310,2.647,2.28%,118.5055,5983373405.83,228050
2015-04-17,125.55,126.14,124.46,124.75,51957046,-1.319,-1.13%,115.8586,6501351186.07,259642
2015-04-16,126.28,127.10,126.11,126.17,28368987,-0.567,-0.48%,117.1774,3588513251.55,155440
2015-04-15,126.41,127.13,126.01,126.78,28970419,0.446,0.38%,117.744,3665458218.53,157325
2015-04-14,127.00,127.29,125.91,126.30,25524593,-0.511,-0.43%,117.2982,3226802915.52,148632
